id,nomor_peraturan,judul,tahun,no,definisi,singkatan,heading,keywords
perpres-31-tahun-2013,PERPRES 31 TAHUN 2013,Biaya Penyelenggaraan Ibadah Haji Tahun 1434H/2013M,2013,31,"['Biaya Penyelenggaraan Ibadah Haji', 'Jemaah haji', 'Penyelenggaraan Ibadah Haji Khusus', 'Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji']","['BPIH', 'BPS-BPIH']",[],"['Biaya Penyelenggaraan Ibadah Haji', 'Jemaah haji', 'Penyelenggaraan Ibadah Haji Khusus', 'Bank Penerima Setoran Biaya Penyelenggaraan Ibadah Haji']"
13-pmk.07-2010,13/PMK.07/2010,Perkiraan Alokasi Tambahan Dana Bagi Hasil Sumber Daya Alam Pertambangan Minyak Bumi dan Gas Bumi untuk Provinsi Nanggroe Aceh Darussalam Tahun Anggaran 2010,2010,13,['Perkiraan alokasi tambahan DBH SDA Migas'],[],[],['Perkiraan alokasi tambahan DBH SDA Migas']
48-pmk.04-2012,48/PMK.04/2012,Pemberitahuan Pabean dalam Rangka Pemasukan dan Pengeluaran Barang Ke dan Dari Kawasan yang Telah Ditetapkan Sebagai Kawasan Perdagangan Bebas dan Pelabuhan Bebas,2012,48,"['Undang-Undang Kepabeanan', 'Daerah Pabean', 'Kawasan yang ditetapkan sebagai kawasan perdagangan bebas dan pelabuhan bebas', 'Kawasan Pabean', 'Orang', 'Pemberitahuan Pabean', 'Kewajiban Pabean', 'Tempat Penimbunan Sementara', 'Pemberitahuan Pabean Free Trade Zone', 'PPFTZ dengan kode 01', 'PPFTZ dengan kode 02', 'PPFTZ dengan kode 03', 'FTZ', 'FTZ', 'Dokumen Pelengkap Pabean', 'Direktur Jenderal', 'Pejabat Bea dan Cukai', 'Kantor Pabean di Kawasan Bebas']","['Kawasan Bebas', 'PPFTZ-01', 'PPFTZ-02', 'PPFTZ-03', 'Pejabat', 'Kantor Pabean']","['BENTUK, ISI, DAN KEABSAHAN PEMBERITAHUAN PABEAN', 'PENELITIAN, PERUBAHAN, PENAMBAHAN, DAN PEMBATALAN PEMBERITAHUAN PABEAN', 'PENDISTRIBUSIAN DAN PENATAUSAHAAN PEMBERITAHUAN PABEAN', 'DOKUMEN PELENGKAP PABEAN', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PENUTUP']","['Undang-Undang Kepabeanan', 'Daerah Pabean', 'Kawasan yang ditetapkan sebagai kawasan perdagangan bebas dan pelabuhan bebas', 'Kawasan Pabean', 'Orang', 'Pemberitahuan Pabean', 'Kewajiban Pabean', 'Tempat Penimbunan Sementara', 'Pemberitahuan Pabean Free Trade Zone', 'PPFTZ dengan kode 01', 'PPFTZ dengan kode 02', 'PPFTZ dengan kode 03', 'FTZ', 'FTZ', 'Dokumen Pelengkap Pabean', 'Direktur Jenderal', 'Pejabat Bea dan Cukai', 'Kantor Pabean di Kawasan Bebas', 'BENTUK, ISI, DAN KEABSAHAN PEMBERITAHUAN PABEAN', 'PENELITIAN, PERUBAHAN, PENAMBAHAN, DAN PEMBATALAN PEMBERITAHUAN PABEAN', 'PENDISTRIBUSIAN DAN PENATAUSAHAAN PEMBERITAHUAN PABEAN', 'DOKUMEN PELENGKAP PABEAN']"
pp-85-tahun-2013,PP 85 TAHUN 2013,Tata Cara Hubungan Antar Lembaga Badan Penyelenggara Jaminan Sosial,2013,85,"['Badan Penyelenggara Jaminan Sosial', 'Jaminan Sosial', 'Pemerintah Pusat', 'Pemerintah Daerah']",['Pemerintah'],"['KETENTUAN UMUM', 'TATA CARA KERJA SAMA BPJS DENGAN LEMBAGA PEMERINTAH', 'TATA CARA HUBUNGAN KERJA SAMA BPJS DENGAN ORGANISASI ATAU LEMBAGA LAIN DALAM NEGERI DAN LUAR NEGERI', 'KEANGGOTAAN BPJS DALAM ORGANISASI ATAU LEMBAGA INTERNASIONAL', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP', 'Umum', 'Kerja Sama BPJS dengan Organisasi atau Lembaga Lain Dalam Negeri', 'Kerja Sama BPJS dengan Organisasi atau Lembaga Lain Luar Negeri']","['Badan Penyelenggara Jaminan Sosial', 'Jaminan Sosial', 'Pemerintah Pusat', 'Pemerintah Daerah', 'TATA CARA KERJA SAMA BPJS DENGAN LEMBAGA PEMERINTAH', 'TATA CARA HUBUNGAN KERJA SAMA BPJS DENGAN ORGANISASI ATAU LEMBAGA LAIN DALAM NEGERI DAN LUAR NEGERI', 'KEANGGOTAAN BPJS DALAM ORGANISASI ATAU LEMBAGA INTERNASIONAL', 'Umum', 'Kerja Sama BPJS dengan Organisasi atau Lembaga Lain Dalam Negeri', 'Kerja Sama BPJS dengan Organisasi atau Lembaga Lain Luar Negeri']"
pp-59-tahun-2012,PP 59 TAHUN 2012,Pendirian Perusahaan Penerbit Surat Berharga Syariah Negara Indonesia V,2012,59,"['Perusahaan Penerbit Surat Berharga Syariah Negara', 'Surat Berharga Syariah Negara selanjutnya disingkat SBSN, atau dapat disebut Sukuk Negara', 'Aset SBSN', 'Wali Amanat', 'Menteri']",['Perusahaan Penerbit SBSN'],"['KETENTUAN UMUM', 'PENDIRIAN', 'ANGGARAN DASAR', 'PERTANGGUNGJAWABAN', 'KETENTUAN PENUTUP']","['Perusahaan Penerbit Surat Berharga Syariah Negara', 'Surat Berharga Syariah Negara selanjutnya disingkat SBSN, atau dapat disebut Sukuk Negara', 'Aset SBSN', 'Wali Amanat', 'Menteri', 'PENDIRIAN', 'ANGGARAN DASAR', 'PERTANGGUNGJAWABAN']"
84-pmk.05-2013,84/PMK.05/2013,Tarif Layanan Badan Layanan Umum Balai Besar Industri Agro pada Kementerian Perindustrian,2013,84,['Tarif Layanan Badan Layanan Umum Balai Besar Industri Agro pada Kementerian Perindustrian'],[],[],['Tarif Layanan Badan Layanan Umum Balai Besar Industri Agro pada Kementerian Perindustrian']
174-pmk.03-2015,174/PMK.03/2015,Tata Cara Penghitungan dan Pemungutan Pajak Pertambahan Nilai atas Penyerahan Hasil Tembakau,2015,174,"['Hasil Tembakau', 'Pengusaha Pabrik Hasil Tembakau', 'Importir Barang Kena Cukai berupa Hasil Tembakau', 'Pengusaha Penyalur Hasil Tembakau', 'Dasar Pengenaan Pajak', 'Nilai Lain', 'Harga Jual Eceran', 'Tarif Efektif']","['Importir', 'Pengusaha Penyalur']",[],"['Hasil Tembakau', 'Pengusaha Pabrik Hasil Tembakau', 'Importir Barang Kena Cukai berupa Hasil Tembakau', 'Pengusaha Penyalur Hasil Tembakau', 'Dasar Pengenaan Pajak', 'Nilai Lain', 'Harga Jual Eceran', 'Tarif Efektif']"
10-pmk.03-2013,10/PMK.03/2013,Tata Cara Pengembalian atas Kelebihan Pembayaran Pajak yang Seharusnya Tidak Terutang,2013,10,"['Undang-Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Surat Pemberitahuan', 'SPT Masa', 'SPT Tahunan', 'Surat Ketetapan Pajak Lebih Bayar', 'Verifikasi', 'Wajib Pajak Luar Negeri', 'Persetujuan Penghindaran Pajak Berganda', 'Surat Pemberitahuan Kekurangan Pembayaran Bea Masuk, Cukai, Denda Administrasi, Bunga, dan Pajak dalam rangka impor', 'Surat Penetapan Tarif dan/atau Nilai Pabean', 'Surat Penetapan Pabean', 'Surat Penetapan Kembali Tarif dan/atau Nilai Pabean']",['Undang-Undang KUP'],"['KETENTUAN UMUM', 'RUANG LINGKUP', 'PERMOHONAN', 'PROSES PENYELESAIAN PERMOHONAN']","['Undang-Undang Ketentuan Umum dan Tata Cara Perpajakan', 'Surat Pemberitahuan', 'SPT Masa', 'SPT Tahunan', 'Surat Ketetapan Pajak Lebih Bayar', 'Verifikasi', 'Wajib Pajak Luar Negeri', 'Persetujuan Penghindaran Pajak Berganda', 'Surat Pemberitahuan Kekurangan Pembayaran Bea Masuk, Cukai, Denda Administrasi, Bunga, dan Pajak dalam rangka impor', 'Surat Penetapan Tarif dan/atau Nilai Pabean', 'Surat Penetapan Pabean', 'Surat Penetapan Kembali Tarif dan/atau Nilai Pabean', 'RUANG LINGKUP', 'PERMOHONAN', 'PROSES PENYELESAIAN PERMOHONAN']"
254-pmk.03-2014,254/PMK.03/2014,Tata Cara Pendaftaran dan Pendataan Objek Pajak dan Subjek Pajak atau Wajib Pajak Pajak Bumi dan Bangunan,2014,254,"['Pajak Bumi dan Bangunan', 'Subjek Pajak PBB', 'Wajib Pajak PBB', 'Objek Pajak PBB', 'Pendaftaran', 'Pemutakhiran', 'Pemetaan', 'Surat Pemberitahuan Objek Pajak', 'Lampiran SPOP', 'Kantor Pelayanan Pajak', 'Nilai Jual Objek Pajak', 'Nomor Objek Pajak']","['Subjek Pajak', 'Wajib Pajak', 'Objek Pajak']",[],"['Pajak Bumi dan Bangunan', 'Subjek Pajak PBB', 'Wajib Pajak PBB', 'Objek Pajak PBB', 'Pendaftaran', 'Pemutakhiran', 'Pemetaan', 'Surat Pemberitahuan Objek Pajak', 'Lampiran SPOP', 'Kantor Pelayanan Pajak', 'Nilai Jual Objek Pajak', 'Nomor Objek Pajak']"
104-pmk.05-2017,104/PMK.05/2017,Pedoman Rekonsiliasi dalam Penyusunan Laporan Keuangan Lingkup Bendahara Umum Negara dan Kementerian Negara/Lembaga,2017,104,"['Rekonsiliasi', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Laporan Keuangan', 'Berita Acara Rekonsiliasi', 'Surat Pemberitahuan Pengenaan Sanksi', 'Surat Pemberitahuan Pencabutan Pengenaan Sanksi', 'Satuan Kerja', 'Kantor Pelayanan Perbendaharaan Negara', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Pengguna Anggaran', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Bendahara Umum Negara Tingkat Daerah']","['Kuasa BUN', 'Satker', 'KPPN', 'UAKPA', 'UAKBUN-Daerah']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'PELAKSANAAN REKONSILIASI', 'SANKSI', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Rekonsiliasi', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Laporan Keuangan', 'Berita Acara Rekonsiliasi', 'Surat Pemberitahuan Pengenaan Sanksi', 'Surat Pemberitahuan Pencabutan Pengenaan Sanksi', 'Satuan Kerja', 'Kantor Pelayanan Perbendaharaan Negara', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Pengguna Anggaran', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Unit Akuntansi dan Pelaporan Keuangan Kuasa Bendahara Umum Negara Tingkat Daerah', 'RUANG LINGKUP', 'PELAKSANAAN REKONSILIASI', 'SANKSI']"
54-pmk.01-2017,54/PMK.01/2017,Organisasi dan Tata Kerja Lembaga Manajemen Aset Negara,2017,54,['Lembaga Manajemen Aset Negara'],[],"['KEDUDUKAN, TUGAS, DAN FUNGSI', 'SUSUNAN ORGANISASI', 'DIREKTUR KEUANGAN DAN DUKUNGAN ORGANISASI', 'DIREKTUR OPERASIONAL DAN MANAJEMEN RISIKO', 'DIREKTUR PENGADAAN DAN PENDANAAN LAHAN', 'DIREKTUR PENGEMBANGAN DAN PENDAYAGUNAAN', 'KELOMPOK JABATAN FUNGSIONAL', 'TATA KERJA', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Lembaga Manajemen Aset Negara', 'KEDUDUKAN, TUGAS, DAN FUNGSI', 'SUSUNAN ORGANISASI', 'DIREKTUR KEUANGAN DAN DUKUNGAN ORGANISASI', 'DIREKTUR OPERASIONAL DAN MANAJEMEN RISIKO', 'DIREKTUR PENGADAAN DAN PENDANAAN LAHAN', 'DIREKTUR PENGEMBANGAN DAN PENDAYAGUNAAN', 'KELOMPOK JABATAN FUNGSIONAL', 'TATA KERJA']"
233-pmk.05-2016,233/PMK.05/2016,Pedoman Akuntansi dan Pelaporan Aset Berupa Barang Milik Negara yang Berasal Dari Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara,2016,233,"['Kontraktor Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Barang Milik Negara', 'Barang yang menjadi milik/kekayaan negara yang berasal dari Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Unit Akuntansi Kuasa Pengelola Barang Bendahara Umum Negara', 'Unit Akuntansi Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Penilaian', 'Dokumen Sumber', 'Laporan Realisasi Anggaran', 'Laporan Operasional', 'Laporan Perubahan Ekuitas', 'Catatan atas Laporan Keuangan', 'Verifikasi']","['Kontraktor', 'Perjanjian', 'Barang Milik Negara PKP2B', 'CaLK']","['KETENTUAN UMUM', 'SISTEM AKUNTANSI DAN PELAPORAN', 'PEDOMAN AKUNTANSI', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PENUTUP', 'Pengertian', 'Ruang Lingkup', 'Sistem Akuntansi', 'Unit Akuntansi Pelaporan Keuangan', 'Unit Akuntansi Pelaporan Barang', 'Pengakuan', 'Pengklasifikasian', 'Pengukuran', 'Penilaian', 'Nilai Kapitalisasi Aset', 'Dokumen Sumber', 'Akuntansi Dan Pelaporan Keuangan']","['Kontraktor Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Barang Milik Negara', 'Barang yang menjadi milik/kekayaan negara yang berasal dari Perjanjian Kerjasama/Karya Pengusahaan Pertambangan Batubara', 'Unit Akuntansi Kuasa Pengelola Barang Bendahara Umum Negara', 'Unit Akuntansi Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Penilaian', 'Dokumen Sumber', 'Laporan Realisasi Anggaran', 'Laporan Operasional', 'Laporan Perubahan Ekuitas', 'Catatan atas Laporan Keuangan', 'Verifikasi', 'SISTEM AKUNTANSI DAN PELAPORAN', 'PEDOMAN AKUNTANSI', 'Pengertian', 'Ruang Lingkup', 'Sistem Akuntansi', 'Unit Akuntansi Pelaporan Keuangan', 'Unit Akuntansi Pelaporan Barang', 'Pengakuan', 'Pengklasifikasian', 'Pengukuran', 'Penilaian', 'Nilai Kapitalisasi Aset', 'Dokumen Sumber', 'Akuntansi Dan Pelaporan Keuangan']"
84-pmk.05-2017,84/PMK.05/2017,Penggunaan Dana Peremajaan Perkebunan Kelapa Sawit Badan Layanan Umum Badan Pengelola Dana Perkebunan Kelapa Sawit,2017,84,['Dana Peremajaan Perkebunan Kelapa Sawit'],['Dana PPKS'],[],['Dana Peremajaan Perkebunan Kelapa Sawit']
132-pmk.011-2014,132/PMK.011/2014,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan Guna Pembuatan Peralatan Rumah Sakit untuk Tahun Anggaran 2014,2014,132,"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Peralatan Rumah Sakit']",['Barang dan Bahan'],[],"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Peralatan Rumah Sakit']"
48-pmk.011-2010,48/PMK.011/2010,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan  Guna Pembuatan Kawat Ban (Steel Cord) untuk Tahun Anggaran 2010,2010,48,"['Perusahaan', 'Barang dan bahan guna pembuatan kawat ban ( steel cord']",['barang dan bahan'],[],"['Perusahaan', 'Barang dan bahan guna pembuatan kawat ban ( steel cord']"
pp-21-tahun-2008,PP 21 TAHUN 2008,Penyelenggaraan Penanggulangan Bencana,2008,21,"['Bencana', 'Penyelenggaraan penanggulangan bencana', 'Pencegahan bencana', 'Kesiapsiagaan', 'Peringatan dini', 'Mitigasi', 'Risiko bencana', 'Tanggap darurat bencana', 'Korban bencana', 'Rehabilitasi', 'Rekonstruksi', 'Wilayah bencana', 'Masyarakat', 'Pengungsi', 'Kelompok rentan', 'Pemerintah Pusat', 'Pemerintah daerah', 'Badan Nasional Penanggulangan Bencana', 'Badan Penanggulangan Bencana Daerah']",['Pemerintah'],"['KETENTUAN UMUM', 'PRABENCANA', 'TANGGAP DARURAT', 'PASCABENCANA', 'PEMANTAUAN DAN EVALUASI', 'KETENTUAN LAIN-LAIN', 'KETENTUAN PENUTUP', 'Umum', 'Situasi Tidak Terjadi Bencana', 'Situasi Terdapat Potensi Terjadi Bencana', 'Pengkajian Secara Cepat dan Tepat', 'Penentuan Status Keadaan Darurat Bencana', 'Penyelamatan dan Evakuasi', 'Pemenuhan Kebutuhan Dasar', 'Perlindungan Terhadap Kelompok Rentan', 'Pemulihan Segera Prasarana dan Sarana Vital', 'Rehabilitasi', 'Rekonstruksi', 'Pemantauan', 'Pelaporan', 'Evaluasi', 'Pengerahan Sumber Daya Manusia, Peralatan, dan Logistik', 'Imigrasi, Cukai, dan Karantina', 'Perizinan', 'Pengadaan Barang/Jasa', 'Pengelolaan dan Pertanggungjawaban Uang dan/atau Barang', 'Penyelamatan', 'Komando', 'Perbaikan Lingkungan Daerah Bencana', 'Perbaikan Prasarana dan Sarana Umum', 'Pemberian Bantuan Perbaikan Rumah Masyarakat', 'Pemulihan Sosial Psikologis', 'Pelayanan Kesehatan', 'Rekonsiliasi dan Resolusi Konflik', 'Pemulihan Sosial Ekonomi Budaya', 'Pemulihan Keamanan Dan Ketertiban', 'Pemulihan Fungsi Pemerintahan', 'Pemulihan Fungsi Pelayanan Publik', 'Pembangunan Kembali Prasarana dan Sarana', 'Pembangunan Kembali Sarana Sosial Masyarakat', 'Pembangkitan Kembali Kehidupan Sosial Budaya Masyarakat', 'Penerapan Rancang Bangun', 'Partisipasi dan Peran Serta Lembaga/Organisasi Kemasyarakatan, Dunia Usaha, dan Masyarakat', 'Peningkatan Kondisi Sosial, Ekonomi, dan Budaya', 'Peningkatan Fungsi Pelayanan Publik', 'Peningkatan Pelayanan Utama dalam Masyarakat']","['Bencana', 'Penyelenggaraan penanggulangan bencana', 'Pencegahan bencana', 'Kesiapsiagaan', 'Peringatan dini', 'Mitigasi', 'Risiko bencana', 'Tanggap darurat bencana', 'Korban bencana', 'Rehabilitasi', 'Rekonstruksi', 'Wilayah bencana', 'Masyarakat', 'Pengungsi', 'Kelompok rentan', 'Pemerintah Pusat', 'Pemerintah daerah', 'Badan Nasional Penanggulangan Bencana', 'Badan Penanggulangan Bencana Daerah', 'PRABENCANA', 'TANGGAP DARURAT', 'PASCABENCANA', 'PEMANTAUAN DAN EVALUASI', 'Umum', 'Situasi Tidak Terjadi Bencana', 'Situasi Terdapat Potensi Terjadi Bencana', 'Pengkajian Secara Cepat dan Tepat', 'Penentuan Status Keadaan Darurat Bencana', 'Penyelamatan dan Evakuasi', 'Pemenuhan Kebutuhan Dasar', 'Perlindungan Terhadap Kelompok Rentan', 'Pemulihan Segera Prasarana dan Sarana Vital', 'Rehabilitasi', 'Rekonstruksi', 'Pemantauan', 'Pelaporan', 'Evaluasi', 'Pengerahan Sumber Daya Manusia, Peralatan, dan Logistik', 'Imigrasi, Cukai, dan Karantina', 'Perizinan', 'Pengadaan Barang/Jasa', 'Pengelolaan dan Pertanggungjawaban Uang dan/atau Barang', 'Penyelamatan', 'Komando', 'Perbaikan Lingkungan Daerah Bencana', 'Perbaikan Prasarana dan Sarana Umum', 'Pemberian Bantuan Perbaikan Rumah Masyarakat', 'Pemulihan Sosial Psikologis', 'Pelayanan Kesehatan', 'Rekonsiliasi dan Resolusi Konflik', 'Pemulihan Sosial Ekonomi Budaya', 'Pemulihan Keamanan Dan Ketertiban', 'Pemulihan Fungsi Pemerintahan', 'Pemulihan Fungsi Pelayanan Publik', 'Pembangunan Kembali Prasarana dan Sarana', 'Pembangunan Kembali Sarana Sosial Masyarakat', 'Pembangkitan Kembali Kehidupan Sosial Budaya Masyarakat', 'Penerapan Rancang Bangun', 'Partisipasi dan Peran Serta Lembaga/Organisasi Kemasyarakatan, Dunia Usaha, dan Masyarakat', 'Peningkatan Kondisi Sosial, Ekonomi, dan Budaya', 'Peningkatan Fungsi Pelayanan Publik', 'Peningkatan Pelayanan Utama dalam Masyarakat']"
