nomor_peraturan,judul,tahun,no,definisi,heading,keywords
UU 13 TAHUN 2005,Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2006,2005,13,"['Pendapatan negara dan hibah', 'Penerimaan perpajakan', 'Pajak dalam negeri']",[],"['Pendapatan negara dan hibah', 'Penerimaan perpajakan', 'Pajak dalam negeri']"
105/PMK.011/2011,Bea Masuk Ditanggung Pemerintah atas Impor Barang dan Bahan Guna Pembuatan Alat Tulis Berupa Ballpoint untuk Tahun Anggaran 2011,2011,105,"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Alat Tulis Berupa _Ballpoint_']",[],"['Perusahaan', 'Barang dan Bahan Untuk Industri Pembuatan Alat Tulis Berupa _Ballpoint_']"
117/PMK.01/2009,Pengangkatan Pelaksana Tugas dalam Jabatan Struktural di Lingkungan Departemen Keuangan,2009,117,[],"['PEMBERHENTIAN PLT', 'PENGANGKATAN PLT SEBAGAI PEJABAT DEFINITIF']","['PEMBERHENTIAN PLT', 'PENGANGKATAN PLT SEBAGAI PEJABAT DEFINITIF']"
48/PMK.010/2011,Biaya Pengelolaan Program Jaminan Hari Tua,2011,48,['Badan Penyelenggara hanya dapat membebankan biaya dalam rangka pengelolaan Program Jaminan Hari Tua setiap tahunnya sebesar persentasetertentu dari dana investasi Program Jaminan Hari Tua 2 Besarnya persentase sebagaimana dimaksud pada ayat 1'],[],['Badan Penyelenggara hanya dapat membebankan biaya dalam rangka pengelolaan Program Jaminan Hari Tua setiap tahunnya sebesar persentasetertentu dari dana investasi Program Jaminan Hari Tua 2 Besarnya persentase sebagaimana dimaksud pada ayat 1']
192/PMK.07/2016,Pemanfaatan Sementara Kas yang Berasal Dari Sisa Transfer Ke Daerah dan Dana Desa Yang Sudah Ditentukan Penggunaannya pada Tahun Tahun Sebelumnya untuk Mendanai Kegiatan pada Tahun Anggaran 2016,2016,192,['SisaTransferkeDaerahdanDanaDesayang sudahditentukanpenggunaannyahanyadapat digunakanuntukmendanaikegiatanyangtelah ditentukansesuaidenganketentuanperaturan perundang undangan 2 Sisa Transfer ke Daerah dan Dana Desa sebagaimana dimaksud pada ayat 1'],[],['SisaTransferkeDaerahdanDanaDesayang sudahditentukanpenggunaannyahanyadapat digunakanuntukmendanaikegiatanyangtelah ditentukansesuaidenganketentuanperaturan perundang undangan 2 Sisa Transfer ke Daerah dan Dana Desa sebagaimana dimaksud pada ayat 1']
37/PMK.04/2013,Toko Bebas Bea,2013,37,"['Undang Undang Kepabeanan', 'Undang Undang Cukai', 'Daerah Pabean', 'Kawasan Pabean', 'Tempat Penimbunan Berikat', 'Toko Bebas Bea', 'Penyelenggara Toko Bebas Bea sekaligus Pengusaha Toko Bebas Bea', 'Ruang Penimbunan', 'Ruang Penjualan', 'Menteri', 'Direktur Jenderal', 'Kantor Pabean', 'Pejabat Bea dan Cukai', 'Pajak Dalam Rangka Impor']","['KETENTUAN UMUM', 'PERLAKUAN KEPABEANAN DAN PERPAJAKAN', 'PEMASUKAN DAN PENGELUARAN BARANG', 'SANKSI ADMINISTRASI PEMBEKUAN DAN PENCABUTAN', 'PENGAWASAN', 'PENUTUP']","['Undang Undang Kepabeanan', 'Undang Undang Cukai', 'Daerah Pabean', 'Kawasan Pabean', 'Tempat Penimbunan Berikat', 'Toko Bebas Bea', 'Penyelenggara Toko Bebas Bea sekaligus Pengusaha Toko Bebas Bea', 'Ruang Penimbunan', 'Ruang Penjualan', 'Menteri', 'Direktur Jenderal', 'Kantor Pabean', 'Pejabat Bea dan Cukai', 'Pajak Dalam Rangka Impor', 'KETENTUAN UMUM', 'PERLAKUAN KEPABEANAN DAN PERPAJAKAN', 'PEMASUKAN DAN PENGELUARAN BARANG', 'SANKSI ADMINISTRASI PEMBEKUAN DAN PENCABUTAN', 'PENGAWASAN', 'PENUTUP']"
172/PMK.08/2017,Tata Cara Pengadaan Pinjaman Luar Negeri Tunai,2017,172,"['Pinjaman Tunai', 'Pinjaman Program', 'Pinjaman Siaga', 'Pinjaman Tunai Komersial', 'Kreditor Multilateral', 'Kreditor Bilateral', 'Kreditor Swasta Asing', 'Menteri Keuangan', 'Direktur Jenderal Pengelolaan Pembiayaan dan Risiko', 'Strategi Pengelolaan Utang Negara', 'Strategi Pembiayaan Tahunan']","['KETENTUAN UMUM', 'RUANG LINGKUP', 'SUMBER PINJAMAN TUNAI', 'PENGADAAN PINJAMAN PROGRAM', 'PENGADAAN PINJAMAN SIAGA __', 'PENGADAAN PINJAMAN TUNAI KOMERSIAL', 'KETENTUAN PENUTUP']","['Pinjaman Tunai', 'Pinjaman Program', 'Pinjaman Siaga', 'Pinjaman Tunai Komersial', 'Kreditor Multilateral', 'Kreditor Bilateral', 'Kreditor Swasta Asing', 'Menteri Keuangan', 'Direktur Jenderal Pengelolaan Pembiayaan dan Risiko', 'Strategi Pengelolaan Utang Negara', 'Strategi Pembiayaan Tahunan', 'KETENTUAN UMUM', 'RUANG LINGKUP', 'SUMBER PINJAMAN TUNAI', 'PENGADAAN PINJAMAN PROGRAM', 'PENGADAAN PINJAMAN SIAGA __', 'PENGADAAN PINJAMAN TUNAI KOMERSIAL', 'KETENTUAN PENUTUP']"
93/PMK.02/2011,Petunjuk Penyusunan dan Penelaahan Rencana Kerja dan Anggaran Kementerian Negara Lembaga,2011,93,['b Dalam rangka penyusunan Anggaran Pendapatan dan Belanja Negara APBN Menteri Pimpinan Lembaga menyusun Rencana Kerja danAnggaran Kementerian Negara Lembaga RKA K L yang dipimpinnya 2 Selain menyusun RKA K L atas Bagian Anggaran Kementerian Keuangan MenteriKeuanganmenyusunRKA K LuntukBagianAnggaran Bendahara Umum Negara'],[],['b Dalam rangka penyusunan Anggaran Pendapatan dan Belanja Negara APBN Menteri Pimpinan Lembaga menyusun Rencana Kerja danAnggaran Kementerian Negara Lembaga RKA K L yang dipimpinnya 2 Selain menyusun RKA K L atas Bagian Anggaran Kementerian Keuangan MenteriKeuanganmenyusunRKA K LuntukBagianAnggaran Bendahara Umum Negara']
PP 12 TAHUN 1969,Perusahaan Perseroan Persero,1969,12,['Yang dimaksudkan dalam Peraturan Pemerintah ini dengan a Radio PRESIDEN REPUBLIK INDONESIA a Radio siaran'],"['KETENTUAN UMUM', 'FUNGSI HAK KEWAJIBAN DAN TANGGUNG JAWAB RADIO SIARAN', 'SYARAT SYARAT PENYELENGGARAAN RADIO SIARAN', 'PERIDZINAN', 'PENGAWASAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PIDANA', 'KETENTUAN PENUTUP']","['Yang dimaksudkan dalam Peraturan Pemerintah ini dengan a Radio PRESIDEN REPUBLIK INDONESIA a Radio siaran', 'KETENTUAN UMUM', 'FUNGSI HAK KEWAJIBAN DAN TANGGUNG JAWAB RADIO SIARAN', 'SYARAT SYARAT PENYELENGGARAAN RADIO SIARAN', 'PERIDZINAN', 'PENGAWASAN', 'KETENTUAN PERALIHAN', 'KETENTUAN PIDANA', 'KETENTUAN PENUTUP']"
6/PMK.05/2020,Tarif Layanan Badan Layanan Umum Pusat Peragaan Ilmu Pengetahuan dan Teknologi pada Kementerian Riset dan Teknologi Badan Riset dan Inovasi Nasional,2020,6,"['Dana Insentif Daerah Tambahan', 'Pemerintah Daerah', 'Kepala Daerah', 'Daerah Otonom', 'Anggaran Pendapatan dan Belanja Daerah']","['KETENTUAN UMUM', 'PENGALOKASIAN', 'Umum', 'Data Penghitungan DID Tambahan', 'Penghitungan dan Penetapan Alokasi DID Tambahan', 'PENYALURAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PENUTUP']","['Dana Insentif Daerah Tambahan', 'Pemerintah Daerah', 'Kepala Daerah', 'Daerah Otonom', 'Anggaran Pendapatan dan Belanja Daerah', 'KETENTUAN UMUM', 'PENGALOKASIAN', 'Umum', 'Data Penghitungan DID Tambahan', 'Penghitungan dan Penetapan Alokasi DID Tambahan', 'PENYALURAN', 'KETENTUAN LAIN LAIN', 'KETENTUAN PENUTUP']"
125/PMK.05/2009,Kerja Lembur dan Pemberian Uang Lembur Bagi Pegawai Negeri Sipil,2009,125,[],['KETENTUAN PENUTUP'],['KETENTUAN PENUTUP']
166/PMK.01/2016,Organisasi dan Tata Kerja Kantor Pengolahan Data dan Dokumen Perpajakan,2016,166,['Kantor Pengolahan Data dan Dokumen Perpajakan'],"['KEDUDUKAN TUGAS DAN FUNGSI', 'SUSUNAN ORGANISASI', 'KELOMPOK JABATAN FUNGSIONAL', 'TATA KERJA', 'LOKASI DAN WILAYAH KERJA', 'ESELONISASI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Kantor Pengolahan Data dan Dokumen Perpajakan', 'KEDUDUKAN TUGAS DAN FUNGSI', 'SUSUNAN ORGANISASI', 'KELOMPOK JABATAN FUNGSIONAL', 'TATA KERJA', 'LOKASI DAN WILAYAH KERJA', 'ESELONISASI', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
30/PMK.08/2012,Tata Cara Pengelolaan Dana Cadangan Penjaminan dalam Rangka Pelaksanaan Anggaran Kewajiban Penjaminan Pemerintah,2012,30,"['Anggaran Kewajiban Penjaminan Pemerintah', 'Jaminan Pemerintah', 'Penerima Jaminan', 'Badan Usaha', 'Badan Usaha Penjaminan Infrastruktur', 'Pihak Terjamin', 'Penanggung Jawab Proyek Kerjasama', 'Dana Cadangan Penjaminan', 'Rekening Dana Cadangan Penjaminan Pemerintah', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Kuasa BUN Pusat', 'Kuasa BUN di daerah', 'Kantor Pelayanan Perbendaharaan Negara', 'Kuasa Pengguna Anggaran', 'Unit Akuntansi Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Daftar Isian Pelaksanaan Anggaran', 'Surat Penetapan Rencana Kerja dan Anggaran', 'Surat Permintaan Pembayaran', 'Surat Perintah Membayar', 'Surat Perintah Pencairan Dana', 'Bank Indonesia']","['KETENTUAN UMUM Bagian Pertama Definisi', 'Ruang Lingkup', 'Asas Umum', 'PENGELOLAAN DANA CADANGAN PENJAMINAN Bagian Pertama Pembukaan Rekening Dana Cadangan Penjaminan Pemerintah', 'Penyediaan Anggaran Kewajiban Penjaminan Pemerintah dan Dana Cadangan Penjaminan', 'Pemindahbukuan Anggaran Kewajiban Penjaminan Pemerintah ke Rekening Dana Cadangan Penjaminan Pemerintah', 'Pencairan Dana Cadangan Penjaminan', '_Retur_ Ke Rekening Dana Cadangan Penjaminan Pemerintah', 'Penutupan Rekening Dana Cadangan Penjaminan Pemerintah', 'ADMINISTRASI PIUTANG', 'AKUNTANSI DAN PELAPORAN KEUANGAN ANGGARAN KEWAJIBAN PENJAMINAN PEMERINTAH', 'KETENTUAN PENUTUP']","['Anggaran Kewajiban Penjaminan Pemerintah', 'Jaminan Pemerintah', 'Penerima Jaminan', 'Badan Usaha', 'Badan Usaha Penjaminan Infrastruktur', 'Pihak Terjamin', 'Penanggung Jawab Proyek Kerjasama', 'Dana Cadangan Penjaminan', 'Rekening Dana Cadangan Penjaminan Pemerintah', 'Bendahara Umum Negara', 'Kuasa Bendahara Umum Negara', 'Kuasa BUN Pusat', 'Kuasa BUN di daerah', 'Kantor Pelayanan Perbendaharaan Negara', 'Kuasa Pengguna Anggaran', 'Unit Akuntansi Kuasa Pengguna Anggaran Bendahara Umum Negara', 'Daftar Isian Pelaksanaan Anggaran', 'Surat Penetapan Rencana Kerja dan Anggaran', 'Surat Permintaan Pembayaran', 'Surat Perintah Membayar', 'Surat Perintah Pencairan Dana', 'Bank Indonesia', 'KETENTUAN UMUM Bagian Pertama Definisi', 'Ruang Lingkup', 'Asas Umum', 'PENGELOLAAN DANA CADANGAN PENJAMINAN Bagian Pertama Pembukaan Rekening Dana Cadangan Penjaminan Pemerintah', 'Penyediaan Anggaran Kewajiban Penjaminan Pemerintah dan Dana Cadangan Penjaminan', 'Pemindahbukuan Anggaran Kewajiban Penjaminan Pemerintah ke Rekening Dana Cadangan Penjaminan Pemerintah', 'Pencairan Dana Cadangan Penjaminan', '_Retur_ Ke Rekening Dana Cadangan Penjaminan Pemerintah', 'Penutupan Rekening Dana Cadangan Penjaminan Pemerintah', 'ADMINISTRASI PIUTANG', 'AKUNTANSI DAN PELAPORAN KEUANGAN ANGGARAN KEWAJIBAN PENJAMINAN PEMERINTAH', 'KETENTUAN PENUTUP']"
29/PMK.011/2011,Pajak Pertambahan Nilai Ditanggung Pemerintah atas Penyerahan Minyak Goreng Sawit Curah di dalam Negeri untuk Tahun Anggaran 2011,2011,29,['Pajak Pertambahan Nilai yang terutang atas penyerahan minyak goreng sawit curah di dalam negeri oleh Pengusaha Kena Pajak ditanggungPemerintah 2 Pajak Pertambahan Nilai ditanggung Pemerintah sebagaimana dimaksud pada ayat 1'],[],['Pajak Pertambahan Nilai yang terutang atas penyerahan minyak goreng sawit curah di dalam negeri oleh Pengusaha Kena Pajak ditanggungPemerintah 2 Pajak Pertambahan Nilai ditanggung Pemerintah sebagaimana dimaksud pada ayat 1']
PP 21 TAHUN 2016,Pemberian Penghasilan Ketiga Belas Kepada Pimpinan dan Pegawai Non Pegawai Negeri Sipil pada Lembaga Non Struktural,2016,21,"['Lembaga Non Struktural', 'PimpinanLembagaNonStruktural', 'PegawaiNonPegawaiNegeriSipilpadaLembagaNon Struktural']",[],"['Lembaga Non Struktural', 'PimpinanLembagaNonStruktural', 'PegawaiNonPegawaiNegeriSipilpadaLembagaNon Struktural']"
UU 16 TAHUN 2004,Kejaksaan Republik Indonesia,2004,16,"['Jaksa', 'Penuntut Umum', 'Penuntutan', 'Jabatan Fungsional Jaksa']","['KETENTUAN UMUM Bagian Pertama Pengertian', 'Kedudukan', 'SUSUNAN KEJAKSAAN Bagian Pertama Umum Pasal 5 Susunan kejaksaan terdiri dari Kejaksaan Agung Kejaksaan Tinggi dan Kejaksaan Negeri', 'Jaksa Pasal 8 1 Jaksa diangkat dan diberhentikan oleh Jaksa Agung 2 Dalam melaksanakan tugas dan wewenangnya jaksa bertindak untuk dan atas nama negara serta bertanggung jawab menurut saluran hierarki 3 Demi keadilan dan kebenaran berdasarkan Ketuhanan Yang Maha Esa jaksa melakukan penuntutan dengan keyakinan berdasarkan alat bukti yang sah 4 Dalam melaksanakan tugas dan wewenangnya jaksa senantiasa bertindak berdasarkan hukum dengan mengindahkan norma norma keagamaan kesopanan kesusilaan serta wajib menggali dan menjunjung tinggi nilai nilai kemanusiaan yang hidup dalam masyarakat serta senantiasa menjaga kehormatan dan martabat profesinya 5 Dalam hal melaksanakan tugas sebagaimana dimaksud pada ayat 4 jaksa diduga melakukan tindak pidana maka pemanggilan pemeriksaan penggeledahan penangkapan dan penahanan terhadap jaksa yang bersangkutan hanya dapat dilakukan atas izin Jaksa Agung', 'Jaksa Agung Wakil Jaksa Agung dan Jaksa Agung Muda', 'Kepala Kejaksaan Tinggi Wakil Kepala Kejaksaan Tinggi Kepala Kejaksaan Negeri dan Kepala Cabang Kejaksaan Negeri', 'Jabatan Fungsional dan Tenaga Ahli', 'TUGAS DAN WEWENANG Bagian Pertama Umum Pasal 30 1 Di bidang pidana kejaksaan mempunyai tugas dan wewenang a melakukan penuntutan b Melaksanakan PRESIDEN REPUBLIK INDONESIA', 'Khusus Pasal 35 Jaksa Agung mempunyai tugas dan wewenang a menetapkan serta mengendalikan kebijakan penegakan hukum dan keadilan dalam ruang lingkup tugas dan wewenang kejaksaan b mengefektifkan proses penegakan hukum yang diberikan oleh undang undang c mengesampingkan perkara demi kepentingan umum d mengajukan kasasi demi kepentingan hukum kepada Mahkamah Agung dalam perkara pidana perdata dan tata usaha negara e dapat mengajukan pertimbangan teknis hukum kepada Mahkamah Agung dalam pemeriksaan kasasi perkara pidana f mencegah atau menangkal orang tertentu untuk masuk atau keluar wilayah Negara Kesatuan Republik Indonesia karena keterlibatannya dalam perkara pidana sesuai dengan peraturan perundang undangan', 'KETENTUAN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Jaksa', 'Penuntut Umum', 'Penuntutan', 'Jabatan Fungsional Jaksa', 'KETENTUAN UMUM Bagian Pertama Pengertian', 'Kedudukan', 'SUSUNAN KEJAKSAAN Bagian Pertama Umum Pasal 5 Susunan kejaksaan terdiri dari Kejaksaan Agung Kejaksaan Tinggi dan Kejaksaan Negeri', 'Jaksa Pasal 8 1 Jaksa diangkat dan diberhentikan oleh Jaksa Agung 2 Dalam melaksanakan tugas dan wewenangnya jaksa bertindak untuk dan atas nama negara serta bertanggung jawab menurut saluran hierarki 3 Demi keadilan dan kebenaran berdasarkan Ketuhanan Yang Maha Esa jaksa melakukan penuntutan dengan keyakinan berdasarkan alat bukti yang sah 4 Dalam melaksanakan tugas dan wewenangnya jaksa senantiasa bertindak berdasarkan hukum dengan mengindahkan norma norma keagamaan kesopanan kesusilaan serta wajib menggali dan menjunjung tinggi nilai nilai kemanusiaan yang hidup dalam masyarakat serta senantiasa menjaga kehormatan dan martabat profesinya 5 Dalam hal melaksanakan tugas sebagaimana dimaksud pada ayat 4 jaksa diduga melakukan tindak pidana maka pemanggilan pemeriksaan penggeledahan penangkapan dan penahanan terhadap jaksa yang bersangkutan hanya dapat dilakukan atas izin Jaksa Agung', 'Jaksa Agung Wakil Jaksa Agung dan Jaksa Agung Muda', 'Kepala Kejaksaan Tinggi Wakil Kepala Kejaksaan Tinggi Kepala Kejaksaan Negeri dan Kepala Cabang Kejaksaan Negeri', 'Jabatan Fungsional dan Tenaga Ahli', 'TUGAS DAN WEWENANG Bagian Pertama Umum Pasal 30 1 Di bidang pidana kejaksaan mempunyai tugas dan wewenang a melakukan penuntutan b Melaksanakan PRESIDEN REPUBLIK INDONESIA', 'Khusus Pasal 35 Jaksa Agung mempunyai tugas dan wewenang a menetapkan serta mengendalikan kebijakan penegakan hukum dan keadilan dalam ruang lingkup tugas dan wewenang kejaksaan b mengefektifkan proses penegakan hukum yang diberikan oleh undang undang c mengesampingkan perkara demi kepentingan umum d mengajukan kasasi demi kepentingan hukum kepada Mahkamah Agung dalam perkara pidana perdata dan tata usaha negara e dapat mengajukan pertimbangan teknis hukum kepada Mahkamah Agung dalam pemeriksaan kasasi perkara pidana f mencegah atau menangkal orang tertentu untuk masuk atau keluar wilayah Negara Kesatuan Republik Indonesia karena keterlibatannya dalam perkara pidana sesuai dengan peraturan perundang undangan', 'KETENTUAN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
182/PMK.07/2010,Perubahan atas Peraturan Menteri Keuangan Nomor 13 PMK 07 2010 tentang Perkiraan Alokasi Tambahan Dana Bagi Hasil Sumber Daya Alam Minyak Bumi dan Gas Bumi untuk Provinsi Nanggroe Aceh Darussalam Tahun Anggaran 2010,2010,182,['Tarif layanan Badan Layanan Umum Politeknik Kesehatan Medan padaKementerian Kesehatan'],[],['Tarif layanan Badan Layanan Umum Politeknik Kesehatan Medan padaKementerian Kesehatan']
PP 40 TAHUN 2016,Pajak Penghasilan atas Penghasilan Dari Pengalihan Real Estat dalam Skema Kontrak Investasi Kolektif Tertentu,2016,40,"['Kontrak Investasi Kolektif', 'Real Estat', 'Dana Investasi Real Estat', '_Special Purpose Company_']",[],"['Kontrak Investasi Kolektif', 'Real Estat', 'Dana Investasi Real Estat', '_Special Purpose Company_']"
PERPRES 61 TAHUN 2013,Pengesahan Convention On The Conservation And Management Of Highly Migratory Fish Stocks In The Western And Central Pacific Ocean Konvensi tentang Konservasi dan Pengelolaan Sediaan Ikan Beruaya Jauh di Samudera Pasifik Barat dan Tengah,2013,61,['Mengesahkan _Convention on the Conservation and Management of Highly_ _Migratory Fish Stocks in the Western and Central Pacific Ocean_ KonvensitentangKonservasidanPengelolaanSediaanIkanBeruayaJauhdi Samudera Pasifik Barat dan Tengah yang telah ditetapkan pada tanggal 5September2000diHonolulu AmerikaSerikat dengan _Declaration_ Pernyataan terhadap Pasal 3 ayat 1 Konvensi yang naskah aslinyadalamBahasaInggrisdanterjemahannyadalamBahasaIndonesia sebagaimana terlampir dan'],[],['Mengesahkan _Convention on the Conservation and Management of Highly_ _Migratory Fish Stocks in the Western and Central Pacific Ocean_ KonvensitentangKonservasidanPengelolaanSediaanIkanBeruayaJauhdi Samudera Pasifik Barat dan Tengah yang telah ditetapkan pada tanggal 5September2000diHonolulu AmerikaSerikat dengan _Declaration_ Pernyataan terhadap Pasal 3 ayat 1 Konvensi yang naskah aslinyadalamBahasaInggrisdanterjemahannyadalamBahasaIndonesia sebagaimana terlampir dan']
98/PMK.02/2009,Tata Cara Penyediaan Pencairan dan Pertanggungjawaban Dana Penyelenggaraan Kewajiban Pelayanan Umum Pos,2009,98,['Kewajiban Pelayanan Umum Pos'],[],['Kewajiban Pelayanan Umum Pos']
143.1/PMK.01/2009,Perubahan Ketiga atas Peraturan Menteri Keuangan Nomor 100 PMK 01 2008 tentang Organisasi dan Tata Kerja Departemen Keuangan,2009,143,[],"['SANKSI', 'KETENTUAN PENUTUP']","['SANKSI', 'KETENTUAN PENUTUP']"
179/PMK.04/2016,Registrasi Kepabeanan,2016,179,"['Undang UndangKepabeanan', 'Wajib Pajak', 'Keterangan Status Wajib Pajak', 'Importir', 'Eksportir', 'PengusahaPengurusanJasaKepabeanan', 'Pengangkut', 'Pengusaha Tempat Penimbunan Sementara', 'Perusahaan Jasa Titipan', 'AhliKepabeanan', 'Nomor Pokok Wajib Pajak', 'PenggunaJasa', 'Akses Kepabeanan', 'Pengguna Jasa Kepabeanan', 'Registrasi Kepabeanan', 'KantorPabean', 'Direktur Jenderal', 'PejabatBeadanCukai']","['KETENTUAN UMUM', 'PERMOHONAN REGISTRASI KEPABEANAN', 'PENELITIAN PERMOHONAN', 'KEPUTUSAN REGISTRASI KEPABEANAN', 'PERUBAHAN DATA', 'PEMBLOKIRAN DAN PENCABUTAN', 'KETENTUAN KHUSUS PPJK', 'INTEGRASI DATA', 'MONITORING DAN EVALUASI', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Undang UndangKepabeanan', 'Wajib Pajak', 'Keterangan Status Wajib Pajak', 'Importir', 'Eksportir', 'PengusahaPengurusanJasaKepabeanan', 'Pengangkut', 'Pengusaha Tempat Penimbunan Sementara', 'Perusahaan Jasa Titipan', 'AhliKepabeanan', 'Nomor Pokok Wajib Pajak', 'PenggunaJasa', 'Akses Kepabeanan', 'Pengguna Jasa Kepabeanan', 'Registrasi Kepabeanan', 'KantorPabean', 'Direktur Jenderal', 'PejabatBeadanCukai', 'KETENTUAN UMUM', 'PERMOHONAN REGISTRASI KEPABEANAN', 'PENELITIAN PERMOHONAN', 'KEPUTUSAN REGISTRASI KEPABEANAN', 'PERUBAHAN DATA', 'PEMBLOKIRAN DAN PENCABUTAN', 'KETENTUAN KHUSUS PPJK', 'INTEGRASI DATA', 'MONITORING DAN EVALUASI', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
26/PMK.010/2017,Penetapan Tarif Bea Masuk dalam Rangka Asean China Free Trade Area,2017,26,"['Menetapkan tarif bea masuk atas barang impor dari negara negara anggota ASEAN dan negara Republik Rakyat Tiongkok dalam rangka _ASEAN China Free Trade_ _Area_ sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini 2 Klasifikasi barang atas barang impor sebagaimana dimaksud pada ayat 1', 'c Penetapan tarif bea masuk sebagaimana tercantum dalam kolom 6 Lampiran mulai berlaku pada tanggal 1 Januari 2018 dan seterusnya d Penetapan besaran tarif bea masuk sebagaimana tercantum dalam kolom 7 Lampiran']",[],"['Menetapkan tarif bea masuk atas barang impor dari negara negara anggota ASEAN dan negara Republik Rakyat Tiongkok dalam rangka _ASEAN China Free Trade_ _Area_ sebagaimana tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan Menteri ini 2 Klasifikasi barang atas barang impor sebagaimana dimaksud pada ayat 1', 'c Penetapan tarif bea masuk sebagaimana tercantum dalam kolom 6 Lampiran mulai berlaku pada tanggal 1 Januari 2018 dan seterusnya d Penetapan besaran tarif bea masuk sebagaimana tercantum dalam kolom 7 Lampiran']"
PERPRES 33 TAHUN 2020,Standar Harga Satuan Regional,2020,33,['Dengan Peraturan Presiden ini ditetapkan standar harga satuan regional 2 Standar harga satuan regional meliputi a satuan biaya honorarium b satuan biaya perjalanan dinas dalam negeri c satuan biaya rapat pertemuan di dalam dan di luar kantor d satuan biaya pengadaan kendaraan dinas dan e satuan biaya pemeliharaan 3 Standar harga satuan regional sebagaimana dimaksud pada ayat 2 tercantum dalam Lampiran I dan Lampiran II yang'],[],['Dengan Peraturan Presiden ini ditetapkan standar harga satuan regional 2 Standar harga satuan regional meliputi a satuan biaya honorarium b satuan biaya perjalanan dinas dalam negeri c satuan biaya rapat pertemuan di dalam dan di luar kantor d satuan biaya pengadaan kendaraan dinas dan e satuan biaya pemeliharaan 3 Standar harga satuan regional sebagaimana dimaksud pada ayat 2 tercantum dalam Lampiran I dan Lampiran II yang']
71/PMK.04/2018,Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik di Bidang Kepabeanan Cukai dan Perpajakan,2018,71,"['Perizinan Berusaha Terintegrasi Secara Elektronik atau _Online Single Submission_', 'Pelaku Usaha', 'Nomor Induk Berusaha', 'Nomor Pokok Pengusaha Barang Kena Cukai', 'Nomor Pokok Wajib Pajak', 'Tempat Penimbunan Berikat', 'Kemudahan Impor Tujuan Ekspor', 'Tempat Penimbunan Pabean', 'Pengusaha Jasa Titipan', 'Pengusaha Pengurusan Jasa Kepabeanan', 'Kawasan Perdagangan Bebas atau _Free Trade Zone_', 'Menteri Keuangan']","['KETENTUAN UMUM', 'PELAYANAN _ONLINE SINGLE SUBMISSION_ OSS', 'PENDAFTARAN DAN KONFIRMASI STATUS WAJIB PAJAK', 'REGISTRASI KEPABEANAN', 'FASILITAS TPB', 'FASILITAS KITE', 'PEMBERIAN NPPBKC', 'PENUGASAN INDONESIA _NATIONAL SINGLE WINDOW_', 'PERTUKARAN AKSES DATA OSS', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']","['Perizinan Berusaha Terintegrasi Secara Elektronik atau _Online Single Submission_', 'Pelaku Usaha', 'Nomor Induk Berusaha', 'Nomor Pokok Pengusaha Barang Kena Cukai', 'Nomor Pokok Wajib Pajak', 'Tempat Penimbunan Berikat', 'Kemudahan Impor Tujuan Ekspor', 'Tempat Penimbunan Pabean', 'Pengusaha Jasa Titipan', 'Pengusaha Pengurusan Jasa Kepabeanan', 'Kawasan Perdagangan Bebas atau _Free Trade Zone_', 'Menteri Keuangan', 'KETENTUAN UMUM', 'PELAYANAN _ONLINE SINGLE SUBMISSION_ OSS', 'PENDAFTARAN DAN KONFIRMASI STATUS WAJIB PAJAK', 'REGISTRASI KEPABEANAN', 'FASILITAS TPB', 'FASILITAS KITE', 'PEMBERIAN NPPBKC', 'PENUGASAN INDONESIA _NATIONAL SINGLE WINDOW_', 'PERTUKARAN AKSES DATA OSS', 'KETENTUAN LAIN LAIN', 'KETENTUAN PERALIHAN', 'KETENTUAN PENUTUP']"
